product_id,store_id,seed,metric,model_variant,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid
16920,6269,42,cid,lstm_baseline,,,,,,,,,9.879805884466865,8.162096272886188,3.0450597401537927,7.741691945493428,0.5460526315789473
16920,6269,42,cid,mlp_baseline,,,,,,,,,10.11816079000212,8.088975214490704,2.3714099896499534,7.674176696036225,0.4144736842105263
16920,6269,42,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,9.756364348246084,7.869902585846146,2.144545954037336,7.381794309093913,0.5592105263157895
16920,6269,42,cid,graph2vec_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,10.443260308241324,8.62804019529056,3.5945675856147714,8.277282099346994,0.5592105263157895
16920,6269,42,cid,gcn_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,12.051271015985643,10.254371287775975,6.82643665363586,10.29583749334578,0.5526315789473685
16920,6269,42,cid,gcn_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,10.003835084760082,8.194011837828393,2.926823298136393,7.782126326371238,0.506578947368421
16920,6269,42,cid,gat_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,10.769277097352248,9.047744807075052,4.587729690900815,8.793507173170092,0.5986842105263158
16920,6269,42,cid,gat_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,11.711137171421477,10.076878204844355,6.102271310644212,9.90035596458288,0.5592105263157895
16920,6269,1000,cid,lstm_baseline,,,,,,,,,9.922802365574455,8.066168741463057,1.2563060498705096,7.29201988062062,0.5592105263157895
16920,6269,1000,cid,mlp_baseline,,,,,,,,,9.632921314977041,7.255420591316971,-0.38636987349566293,6.72690827369168,0.5328947368421053
16920,6269,1000,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,9.729322564104407,7.8043253468532185,1.8044967339708915,7.266866802258232,0.5526315789473685
